product_category_name,total_orders,total_items,total_revenue,avg_price
health_beauty,8836,9670,1258681.34,130.163530506722
watches_gifts,5624,5991,1205005.68,201.135983975964
bed_bath_table,9417,11115,1036988.68,93.2963274853801
sports_leisure,7720,8641,988048.97,114.344285383636
computers_accessories,6689,7827,911954.32,116.513903155743
furniture_decor,6449,8334,729762.49,87.5644936405088
cool_stuff,3632,3796,635290.85,167.357968914647
housewares,5884,6964,632248.66,90.7881476163125
auto,3897,4235,592720.11,139.957523022432
garden_tools,3518,4347,485256.46,111.630195537152
