customer_state,avg_delivery_time_days,avg_estimated_delivery_days
AC,21.0357129629469,41.1127199073846
AL,24.5438553619794,32.5759142352378
AM,26.4259909004134,45.2778078703852
AP,27.1850677170068,46.2444903952653
BA,19.3354658244884,29.434538423367
CE,21.2665786349278,31.3765853857217
DF,12.9675681089727,24.3070928040404
ES,15.7893071103661,25.5864160052869
GO,15.6063385354545,27.0899150721978
MA,21.5729764741196,30.4608209521453
MG,12.008665646063,24.5478992015783
MS,15.6183190184742,25.9738769350751
MT,18.055756011726,31.7413057541179
PA,23.7729169113683,37.1592053896536
PB,20.4267676096154,33.0262699468139
PE,18.4483229944018,31.0562411795761
PI,19.4570982629138,30.0866364427664
PR,11.9915822274136,24.6112603421389
RJ,15.3094375421715,26.3641723084415
RN,19.2781562060304,32.2405052791332
RO,19.3720365131098,38.7688629305787
RR,29.3875460139839,45.9821437443493
RS,15.3002761924105,28.5086745985378
SC,14.9547828767678,25.7565190727437
SE,21.5197882808189,30.8484297609221
SP,8.76138599608423,19.1424339436745
TO,17.6580626098303,29.0978003345416
